Suite, Main-Scenario, Sub-Scenario, Test, Parameter, Status,4.0_GA_195,4.0_GA_2020,4.0_GA_4020
Test Setup, TestSetup, TestSetup.AddAlien, AddRequiredAlienInServer,  ,, passed,Not Executed, passed
Test Setup, TestSetup, TestSetup.AddLayoutTemplate, AddLayoutTemplateInServer,  ,, passed,Not Executed, passed
GMPO Share Suite GMPO_REL_324, ShareUsers_Signup, shareSuite.UserSignUP, userSignUp,"  ""planner_share""- ""planner_share@GMPO.com""- ""GMPOtest&11"" ",, passed,Not Executed, passed
GMPO Share Suite GMPO_REL_324, ShareUsers_Signup, shareSuite.UserSignUP, userSignUp,"  ""designer_share""- ""designer_share@GMPO.com""- ""GMPOtest&11"" ",, passed,Not Executed, passed
GMPO Share Suite GMPO_REL_324, ShareUsers_Signup, shareSuite.UserSignUP, userSignUp,"  ""admin_share""- ""admin_share@GMPO.com""- ""GMPOtest&11"" ",, passed,Not Executed, passed
GMPO Share Suite GMPO_REL_324, ShareUsers_Signup, shareSuite.UserSignUP, userSignUp,"  ""reader_share""- ""reader_share@GMPO.com""- ""GMPOtest&11"" ",, passed,Not Executed, passed
GMPO Share Suite GMPO_REL_324, ShareUsers_Signup, shareSuite.UserSignUP, userSignUp,"  ""custom_admin_share""- ""custom_admin_share@GMPO.com""- ""GMPOtest&11"" ",, passed,Not Executed, passed
GMPO Share Suite GMPO_REL_324, ShareUsers_Signup, shareSuite.UserSignUP, userSignUp,"  ""custom_planner_share""- ""custom_planner_share@GMPO.com""- ""GMPOtest&11"" ",, passed,Not Executed, passed
GMPO Share Suite GMPO_REL_324, ShareUsers_Signup, shareSuite.UserSignUP, userSignUp,"  ""custom_designer_share""- ""custom_designer_share@GMPO.com""- ""GMPOtest&11"" ",, passed,Not Executed, passed
GMPO Share Suite GMPO_REL_324, ShareUsers_Signup, shareSuite.UserSignUP, userSignUp,"  ""custom_reader_share""- ""custom_reader_share@GMPO.com""- ""GMPOtest&11"" ",, passed,Not Executed, passed
GMPO Share Suite GMPO_REL_324, ShareUsers_Signup, shareSuite.UserSignUP, Create_Roles,"  ""custom_admin_Role""- ""NETWORK_PLANNING-USER_MANAGEMENT-CONFIGURATION_MANAGEMENT-NETWORK_MANAGEMENT"" ",, passed,Not Executed, passed
GMPO Share Suite GMPO_REL_324, ShareUsers_Signup, shareSuite.UserSignUP, Create_Roles,"  ""custom_planner_Role""- ""NETWORK_PLANNING-USER_LISTING"" ",, passed,Not Executed, passed
GMPO Share Suite GMPO_REL_324, ShareUsers_Signup, shareSuite.UserSignUP, Create_Roles,"  ""custom_designer_Role""- ""NETWORK_DESIGNING-USER_LISTING"" ",, passed,Not Executed, passed
GMPO Share Suite GMPO_REL_324, ShareUsers_Signup, shareSuite.UserSignUP, Create_Roles,"  ""custom_reader_Role""- ""NETWORK_VIEWING_ONLY-USER_LISTING"" ",, passed,Not Executed, passed
GMPO Share Suite GMPO_REL_324, ShareUsers_Signup, shareSuite.UserSignUP, Create_Groups,"  ""custom_admin_group_share""- ""custom_admin_Role"" ",, passed,Not Executed, passed
GMPO Share Suite GMPO_REL_324, ShareUsers_Signup, shareSuite.UserSignUP, Create_Groups,"  ""custom_planner_group_share""- ""custom_planner_Role"" ",, passed,Not Executed, passed
GMPO Share Suite GMPO_REL_324, ShareUsers_Signup, shareSuite.UserSignUP, Create_Groups,"  ""custom_designer_group_share""- ""custom_designer_Role"" ",, passed,Not Executed, passed
GMPO Share Suite GMPO_REL_324, ShareUsers_Signup, shareSuite.UserSignUP, Create_Groups,"  ""custom_reader_group_share""- ""custom_reader_Role"" ",, passed,Not Executed, passed
GMPO Share Suite GMPO_REL_324, ShareUsers_Signup, shareSuite.UserSignUP, Activate_Users,"  ""planner_share""- ""PLANNERS_GROUP"" ",, passed,Not Executed, passed
GMPO Share Suite GMPO_REL_324, ShareUsers_Signup, shareSuite.UserSignUP, Activate_Users,"  ""designer_share""- ""DESIGNERS_GROUP"" ",, passed,Not Executed, passed
GMPO Share Suite GMPO_REL_324, ShareUsers_Signup, shareSuite.UserSignUP, Activate_Users,"  ""reader_share""- ""READ_ONLY_GROUP"" ",, passed,Not Executed, passed
GMPO Share Suite GMPO_REL_324, ShareUsers_Signup, shareSuite.UserSignUP, Activate_Users,"  ""custom_admin_share""- ""custom_admin_group_share"" ",, passed,Not Executed, passed
GMPO Share Suite GMPO_REL_324, ShareUsers_Signup, shareSuite.UserSignUP, Activate_Users,"  ""custom_planner_share""- ""custom_planner_group_share"" ",, passed,Not Executed, passed
GMPO Share Suite GMPO_REL_324, ShareUsers_Signup, shareSuite.UserSignUP, Activate_Users,"  ""custom_designer_share""- ""custom_designer_group_share"" ",, passed,Not Executed, passed
GMPO Share Suite GMPO_REL_324, ShareUsers_Signup, shareSuite.UserSignUP, Activate_Users,"  ""custom_reader_share""- ""custom_reader_group_share"" ",, passed,Not Executed, passed
GMPO Share Suite GMPO_REL_324, ShareUsers_Signup, shareSuite.UserSignUP, Activate_Users,"  ""admin_share""- ""ADMIN_GROUP"" ",, passed,Not Executed, passed
GMPO Share Suite GMPO_REL_324, ShareUsers_Signup, shareSuite.UserSignUP, Verify_Logout,  ,, passed,Not Executed, passed
GMPO Share Suite GMPO_REL_324, Admin Share a network , genericTestGenerator.GMPOAuto, Verify,"  ""Verify Admin Share a network with planner-designer-reader-custom_admin-custom_planner-custom_desinger and custom_reader""- ""Row_2""- ""Share""- ""share_test_cases""- ""admin_share"" ",, passed,Not Executed, passed
GMPO Share Suite GMPO_REL_324, Admin Share a network , genericTestGenerator.GMPOAuto, Verify,"  ""Verify admin shared network with planner_share""- ""Row_8""- ""Share""- ""share_test_cases""- ""admin_share"" ",, passed,Not Executed, passed
GMPO Share Suite GMPO_REL_324, Admin Share a network , genericTestGenerator.GMPOAuto, Verify,"  ""Verify admin shared network with designer_share""- ""Row_12""- ""Share""- ""share_test_cases""- ""admin_share"" ",, passed,Not Executed, passed
GMPO Share Suite GMPO_REL_324, Admin Share a network , genericTestGenerator.GMPOAuto, Verify,"  ""Verify admin shared network with reader_share""- ""Row_16""- ""Share""- ""share_test_cases""- ""admin_share"" ",, passed,Not Executed, passed
GMPO Share Suite GMPO_REL_324, Admin Share a network , genericTestGenerator.GMPOAuto, Verify,"  ""Verify admin shared network as custom_admin_share""- ""Row_20""- ""Share""- ""share_test_cases""- ""admin_share"" ",, passed,Not Executed, passed
GMPO Share Suite GMPO_REL_324, Admin Share a network , genericTestGenerator.GMPOAuto, Verify,"  ""Verify admin shared network as custom_planner_share""- ""Row_24""- ""Share""- ""share_test_cases""- ""admin_share"" ",, passed,Not Executed, passed
GMPO Share Suite GMPO_REL_324, Admin Share a network , genericTestGenerator.GMPOAuto, Verify,"  ""Verify admin shared network as custom_designer_share""- ""Row_28""- ""Share""- ""share_test_cases""- ""admin_share"" ",, passed,Not Executed, passed
