Suite, Main-Scenario, Sub-Scenario, Test, Parameter, Status, Owner, Bug/Auton, Comments
Test Setup, TestSetup, TestSetup.AddAlien, AddRequiredAlienInServer,  , passed
Test Setup, TestSetup, TestSetup.AddLayoutTemplate, AddLayoutTemplateInServer,  , passed
GMPO Share Suite GMPO_REL_324, ShareUsers_Signup, shareSuite.UserSignUP, userSignUp,  "planner_share"- "planner_share@GMPO.com"- "GMPOtest&11" , passed
GMPO Share Suite GMPO_REL_324, ShareUsers_Signup, shareSuite.UserSignUP, userSignUp,  "designer_share"- "designer_share@GMPO.com"- "GMPOtest&11" , passed
GMPO Share Suite GMPO_REL_324, ShareUsers_Signup, shareSuite.UserSignUP, userSignUp,  "admin_share"- "admin_share@GMPO.com"- "GMPOtest&11" , passed
GMPO Share Suite GMPO_REL_324, ShareUsers_Signup, shareSuite.UserSignUP, userSignUp,  "reader_share"- "reader_share@GMPO.com"- "GMPOtest&11" , passed
GMPO Share Suite GMPO_REL_324, ShareUsers_Signup, shareSuite.UserSignUP, userSignUp,  "custom_admin_share"- "custom_admin_share@GMPO.com"- "GMPOtest&11" , passed
GMPO Share Suite GMPO_REL_324, ShareUsers_Signup, shareSuite.UserSignUP, userSignUp,  "custom_planner_share"- "custom_planner_share@GMPO.com"- "GMPOtest&11" , passed
GMPO Share Suite GMPO_REL_324, ShareUsers_Signup, shareSuite.UserSignUP, userSignUp,  "custom_designer_share"- "custom_designer_share@GMPO.com"- "GMPOtest&11" , passed
GMPO Share Suite GMPO_REL_324, ShareUsers_Signup, shareSuite.UserSignUP, userSignUp,  "custom_reader_share"- "custom_reader_share@GMPO.com"- "GMPOtest&11" , passed
GMPO Share Suite GMPO_REL_324, ShareUsers_Signup, shareSuite.UserSignUP, Create_Roles,  "custom_admin_Role"- "NETWORK_PLANNING-USER_MANAGEMENT-CONFIGURATION_MANAGEMENT-NETWORK_MANAGEMENT" , passed
GMPO Share Suite GMPO_REL_324, ShareUsers_Signup, shareSuite.UserSignUP, Create_Roles,  "custom_planner_Role"- "NETWORK_PLANNING-USER_LISTING" , passed
GMPO Share Suite GMPO_REL_324, ShareUsers_Signup, shareSuite.UserSignUP, Create_Roles,  "custom_designer_Role"- "NETWORK_DESIGNING-USER_LISTING" , passed
GMPO Share Suite GMPO_REL_324, ShareUsers_Signup, shareSuite.UserSignUP, Create_Roles,  "custom_reader_Role"- "NETWORK_VIEWING_ONLY-USER_LISTING" , passed
GMPO Share Suite GMPO_REL_324, ShareUsers_Signup, shareSuite.UserSignUP, Create_Groups,  "custom_admin_group_share"- "custom_admin_Role" , passed
GMPO Share Suite GMPO_REL_324, ShareUsers_Signup, shareSuite.UserSignUP, Create_Groups,  "custom_planner_group_share"- "custom_planner_Role" , passed
GMPO Share Suite GMPO_REL_324, ShareUsers_Signup, shareSuite.UserSignUP, Create_Groups,  "custom_designer_group_share"- "custom_designer_Role" , passed
GMPO Share Suite GMPO_REL_324, ShareUsers_Signup, shareSuite.UserSignUP, Create_Groups,  "custom_reader_group_share"- "custom_reader_Role" , passed
GMPO Share Suite GMPO_REL_324, ShareUsers_Signup, shareSuite.UserSignUP, Activate_Users,  "planner_share"- "PLANNERS_GROUP" , passed
GMPO Share Suite GMPO_REL_324, ShareUsers_Signup, shareSuite.UserSignUP, Activate_Users,  "designer_share"- "DESIGNERS_GROUP" , passed
GMPO Share Suite GMPO_REL_324, ShareUsers_Signup, shareSuite.UserSignUP, Activate_Users,  "reader_share"- "READ_ONLY_GROUP" , passed
GMPO Share Suite GMPO_REL_324, ShareUsers_Signup, shareSuite.UserSignUP, Activate_Users,  "custom_admin_share"- "custom_admin_group_share" , passed
GMPO Share Suite GMPO_REL_324, ShareUsers_Signup, shareSuite.UserSignUP, Activate_Users,  "custom_planner_share"- "custom_planner_group_share" , passed
GMPO Share Suite GMPO_REL_324, ShareUsers_Signup, shareSuite.UserSignUP, Activate_Users,  "custom_designer_share"- "custom_designer_group_share" , passed
GMPO Share Suite GMPO_REL_324, ShareUsers_Signup, shareSuite.UserSignUP, Activate_Users,  "custom_reader_share"- "custom_reader_group_share" , passed
GMPO Share Suite GMPO_REL_324, ShareUsers_Signup, shareSuite.UserSignUP, Activate_Users,  "admin_share"- "ADMIN_GROUP" , passed
GMPO Share Suite GMPO_REL_324, ShareUsers_Signup, shareSuite.UserSignUP, Verify_Logout,  , passed
GMPO Share Suite GMPO_REL_324, Admin Share a network , genericTestGenerator.GMPOAuto, Verify,  "Verify Admin Share a network with planner-designer-reader-custom_admin-custom_planner-custom_desinger and custom_reader"- "Row_2"- "Share"- "share_test_cases"- "admin_share" , passed
GMPO Share Suite GMPO_REL_324, Admin Share a network , genericTestGenerator.GMPOAuto, Verify,  "Verify admin shared network with planner_share"- "Row_8"- "Share"- "share_test_cases"- "admin_share" , passed
GMPO Share Suite GMPO_REL_324, Admin Share a network , genericTestGenerator.GMPOAuto, Verify,  "Verify admin shared network with designer_share"- "Row_12"- "Share"- "share_test_cases"- "admin_share" , passed
GMPO Share Suite GMPO_REL_324, Admin Share a network , genericTestGenerator.GMPOAuto, Verify,  "Verify admin shared network with reader_share"- "Row_16"- "Share"- "share_test_cases"- "admin_share" , passed
GMPO Share Suite GMPO_REL_324, Admin Share a network , genericTestGenerator.GMPOAuto, Verify,  "Verify admin shared network as custom_admin_share"- "Row_20"- "Share"- "share_test_cases"- "admin_share" , passed
GMPO Share Suite GMPO_REL_324, Admin Share a network , genericTestGenerator.GMPOAuto, Verify,  "Verify admin shared network as custom_planner_share"- "Row_24"- "Share"- "share_test_cases"- "admin_share" , passed
GMPO Share Suite GMPO_REL_324, Admin Share a network , genericTestGenerator.GMPOAuto, Verify,  "Verify admin shared network as custom_designer_share"- "Row_28"- "Share"- "share_test_cases"- "admin_share" , passed
GMPO Share Suite GMPO_REL_324, Admin Share a network , genericTestGenerator.GMPOAuto, Verify,  "Verify admin shared network as custom_reader_share"- "Row_32"- "Share"- "share_test_cases"- "admin_share" , passed
GMPO Share Suite GMPO_REL_324, Admin Share a network , genericTestGenerator.GMPOAuto, Verify,  "Verify Addition in network and recipent is getting updated network."- "Row_36"- "Share"- "share_test_cases"- "admin_share" , passed
GMPO Share Suite GMPO_REL_324, Admin Share a network , genericTestGenerator.GMPOAuto, Verify,  "Verify deletion in network and recipent is getting updated network."- "Row_48"- "Share"- "share_test_cases"- "admin_share" , passed
GMPO Share Suite GMPO_REL_324, Admin Share a network , genericTestGenerator.GMPOAuto, Verify,  "Verify Updation in network and recipent is getting updated network."- "Row_57"- "Share"- "share_test_cases"- "admin_share" , failed
GMPO Share Suite GMPO_REL_324, Planner Share a network , genericTestGenerator.GMPOAuto, Verify,  "Verify planner Share a network with admin-designer-reader-custom_admin-custom_planner-custom_desinger and custom_reader"- "Row_2"- "Share"- "share_test_cases"- "planner_share" , passed
GMPO Share Suite GMPO_REL_324, Planner Share a network , genericTestGenerator.GMPOAuto, Verify,  "Verify planner shared network with admin_share"- "Row_9"- "Share"- "share_test_cases"- "planner_share" , passed
GMPO Share Suite GMPO_REL_324, Planner Share a network , genericTestGenerator.GMPOAuto, Verify,  "Verify planner shared network with designer_share"- "Row_13"- "Share"- "share_test_cases"- "planner_share" , passed
GMPO Share Suite GMPO_REL_324, Planner Share a network , genericTestGenerator.GMPOAuto, Verify,  "Verify planner shared network with reader_share"- "Row_17"- "Share"- "share_test_cases"- "planner_share" , passed
GMPO Share Suite GMPO_REL_324, Planner Share a network , genericTestGenerator.GMPOAuto, Verify,  "Verify planner shared network with custom_admin_share"- "Row_21"- "Share"- "share_test_cases"- "planner_share" , passed
